"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EMPAGE","15_24","PC_AGE","A","2014",52.05,
"AUT","EMPAGE","15_24","PC_AGE","A","2015",51.375,
"AUT","EMPAGE","15_24","PC_AGE","A","2016",51,
"AUT","EMPAGE","15_24","PC_AGE","A","2017",50.575,
"AUT","EMPAGE","15_24","PC_AGE","A","2018",51.35,
"BEL","EMPAGE","15_24","PC_AGE","A","2014",23.2,
"BEL","EMPAGE","15_24","PC_AGE","A","2015",23.35,
"BEL","EMPAGE","15_24","PC_AGE","A","2016",22.75,"B"
"BEL","EMPAGE","15_24","PC_AGE","A","2017",22.7,
"BEL","EMPAGE","15_24","PC_AGE","A","2018",24.975,
"CAN","EMPAGE","15_24","PC_AGE","A","2014",55.55,
"CAN","EMPAGE","15_24","PC_AGE","A","2015",55.775,
"CAN","EMPAGE","15_24","PC_AGE","A","2016",55.375,
"CAN","EMPAGE","15_24","PC_AGE","A","2017",56.48333,
"CAN","EMPAGE","15_24","PC_AGE","A","2018",56.30833,
"CZE","EMPAGE","15_24","PC_AGE","A","2014",27.1,
"CZE","EMPAGE","15_24","PC_AGE","A","2015",28.375,
"CZE","EMPAGE","15_24","PC_AGE","A","2016",28.625,
"CZE","EMPAGE","15_24","PC_AGE","A","2017",29.15,
"CZE","EMPAGE","15_24","PC_AGE","A","2018",28.375,
"DNK","EMPAGE","15_24","PC_AGE","A","2014",53.75,
"DNK","EMPAGE","15_24","PC_AGE","A","2015",55.35,"B"
"DNK","EMPAGE","15_24","PC_AGE","A","2016",58.25,"B"
"DNK","EMPAGE","15_24","PC_AGE","A","2017",56.25,
"DNK","EMPAGE","15_24","PC_AGE","A","2018",57.275,
"FIN","EMPAGE","15_24","PC_AGE","A","2014",41.35,
"FIN","EMPAGE","15_24","PC_AGE","A","2015",40.475,
"FIN","EMPAGE","15_24","PC_AGE","A","2016",41.65,
"FIN","EMPAGE","15_24","PC_AGE","A","2017",42.525,
"FIN","EMPAGE","15_24","PC_AGE","A","2018",44.075,
"FRA","EMPAGE","15_24","PC_AGE","A","2014",27.625,
"FRA","EMPAGE","15_24","PC_AGE","A","2015",27.9,
"FRA","EMPAGE","15_24","PC_AGE","A","2016",27.85,
"FRA","EMPAGE","15_24","PC_AGE","A","2017",28.675,
"FRA","EMPAGE","15_24","PC_AGE","A","2018",29.85,
"DEU","EMPAGE","15_24","PC_AGE","A","2014",46.05,
"DEU","EMPAGE","15_24","PC_AGE","A","2015",45.3,
"DEU","EMPAGE","15_24","PC_AGE","A","2016",45.775,
"DEU","EMPAGE","15_24","PC_AGE","A","2017",46.5,
"DEU","EMPAGE","15_24","PC_AGE","A","2018",47.175,
"GRC","EMPAGE","15_24","PC_AGE","A","2014",13.3,
"GRC","EMPAGE","15_24","PC_AGE","A","2015",13,
"GRC","EMPAGE","15_24","PC_AGE","A","2016",13,
"GRC","EMPAGE","15_24","PC_AGE","A","2017",14.15,
"GRC","EMPAGE","15_24","PC_AGE","A","2018",14,
"HUN","EMPAGE","15_24","PC_AGE","A","2014",23.525,
"HUN","EMPAGE","15_24","PC_AGE","A","2015",25.65,
"HUN","EMPAGE","15_24","PC_AGE","A","2016",28.125,
"HUN","EMPAGE","15_24","PC_AGE","A","2017",28.975,
"HUN","EMPAGE","15_24","PC_AGE","A","2018",28.975,
"ISL","EMPAGE","15_24","PC_AGE","A","2014",70.5,
"ISL","EMPAGE","15_24","PC_AGE","A","2015",73.1,
"ISL","EMPAGE","15_24","PC_AGE","A","2016",77.6,
"ISL","EMPAGE","15_24","PC_AGE","A","2017",75.775,
"ISL","EMPAGE","15_24","PC_AGE","A","2018",75.4,
"IRL","EMPAGE","15_24","PC_AGE","A","2014",36.8,
"IRL","EMPAGE","15_24","PC_AGE","A","2015",37.85,
"IRL","EMPAGE","15_24","PC_AGE","A","2016",41.975,
"IRL","EMPAGE","15_24","PC_AGE","A","2017",39.95,"B"
"IRL","EMPAGE","15_24","PC_AGE","A","2018",40.275,
"ITA","EMPAGE","15_24","PC_AGE","A","2014",15.575,
"ITA","EMPAGE","15_24","PC_AGE","A","2015",15.625,
"ITA","EMPAGE","15_24","PC_AGE","A","2016",16.55,
"ITA","EMPAGE","15_24","PC_AGE","A","2017",17.075,
"ITA","EMPAGE","15_24","PC_AGE","A","2018",17.675,
